,Yaş,Kilometre,Motor Hacmi,Motor Gücü,Ortalama Yakıt Tüketimi,Depo Hacmi,Fiyat,log_Fiyat,Ford,Opel,Renault,Skoda,Toyota,Volkswagen,Vites Tipi,Hasar Durumu
4050,9,185000.0,1329,99,5.8,55.0,625000,13.345506928718539,False,False,False,False,True,False,1.0,0
4051,10,144800.0,1364,90,4.2,50.0,690000,13.444446876573442,False,False,False,False,True,False,1.0,0
4052,11,194000.0,1364,90,5.0,55.0,695000,13.45166712454693,False,False,False,False,True,False,1.5,1
4053,3,43000.0,1598,132,5.5,50.0,1190000,13.989463865087712,False,False,False,False,True,False,2.0,1
4054,9,217000.0,1364,90,4.1,55.0,745000,13.521139497361697,False,False,False,False,True,False,1.5,0
4055,5,145000.0,1598,132,6.3,55.0,753000,13.531820506782031,False,False,False,False,True,False,1.0,1
4056,3,31600.0,1598,132,5.5,50.0,1000000,13.815510557964274,False,False,False,False,True,False,2.0,0
4057,8,72000.0,1329,99,5.8,55.0,770000,13.554145793829866,False,False,False,False,True,False,1.0,1
4058,6,85000.0,1329,99,5.8,55.0,750000,13.527828485512494,False,False,False,False,True,False,1.0,1
4059,6,81000.0,1364,90,4.1,55.0,1000000,13.815510557964274,False,False,False,False,True,False,1.0,0
4060,11,75000.0,1598,124,7.0,55.0,829000,13.627975434117433,False,False,False,False,True,False,1.0,1
4061,10,149000.0,1598,124,7.0,55.0,750000,13.527828485512494,False,False,False,False,True,False,1.0,1
4063,9,99000.0,1598,132,5.7,50.0,799750,13.592054457811765,False,False,False,False,True,False,2.0,1
4064,5,146000.0,1598,132,6.3,55.0,830000,13.62918097977278,False,False,False,False,True,False,1.0,1
4065,4,67000.0,1598,132,5.8,50.0,990000,13.805460222110773,False,False,False,False,True,False,1.0,1
4066,9,123000.0,1329,99,5.8,55.0,745000,13.521139497361697,False,False,False,False,True,False,1.0,1
4067,2,20000.0,1490,125,5.8,50.0,1080000,13.892471599100402,False,False,False,False,True,False,2.0,1
4068,9,183650.0,1329,99,5.8,55.0,630000,13.353475098367715,False,False,False,False,True,False,1.0,0
4069,8,230000.0,1329,99,5.8,55.0,559000,13.233904752137237,False,False,False,False,True,False,1.0,0
4070,6,50100.0,1329,99,5.8,55.0,752000,13.530491602931978,False,False,False,False,True,False,1.0,0
4071,13,140000.0,1598,124,7.1,55.0,715000,13.480037821676145,False,False,False,False,True,False,2.0,1
4072,1,30000.0,1490,125,5.8,50.0,985000,13.800396920154226,False,False,False,False,True,False,2.0,1
4073,10,182000.0,1364,90,4.7,55.0,699000,13.457406021215947,False,False,False,False,True,False,1.0,1
4074,7,29000.0,1329,99,5.8,55.0,780000,13.567049198665774,False,False,False,False,True,False,1.0,1
4075,13,83000.0,1329,101,5.7,55.0,655000,13.39239051461739,False,False,False,False,True,False,1.0,1
4076,8,58750.0,1329,99,5.8,55.0,777000,13.563195629349785,False,False,False,False,True,False,1.0,1
4077,12,149000.0,1364,90,4.7,55.0,670000,13.415032991367148,False,False,False,False,True,False,1.0,1
4078,9,130000.0,1329,99,5.5,50.0,658000,13.396960210307455,False,False,False,False,True,False,1.0,1
4079,8,126000.0,1364,90,4.1,55.0,825000,13.623138665316818,False,False,False,False,True,False,1.5,0
4080,8,145800.0,1364,90,4.1,55.0,790000,13.579788224443204,False,False,False,False,True,False,1.5,1
4081,11,55500.0,1598,132,6.5,60.0,900000,13.710150042306449,False,False,False,False,True,False,1.0,1
4082,11,133000.0,1598,132,6.5,60.0,847000,13.649455973634192,False,False,False,False,True,False,1.0,1
4083,9,182000.0,1364,90,4.1,55.0,665000,13.407542319637992,False,False,False,False,True,False,1.5,0
4084,7,21900.0,1329,99,5.8,50.0,790000,13.579788224443204,False,False,False,False,True,False,1.0,1
4086,13,208000.0,1364,90,4.7,55.0,570000,13.253391639810733,False,False,False,False,True,False,1.0,1
4087,4,95000.0,1598,132,5.5,50.0,885000,13.693342923990066,False,False,False,False,True,False,1.5,0
4088,4,131000.0,1598,132,5.5,50.0,865000,13.670484785914017,False,False,False,False,True,False,1.5,0
4089,13,135000.0,1329,100,5.5,42.0,620000,13.337474757021274,False,False,False,False,True,False,1.0,1
4090,6,45000.0,1329,99,5.8,50.0,710000,13.473020249017498,False,False,False,False,True,False,1.0,0
4091,6,72200.0,1329,99,5.8,55.0,770000,13.554145793829866,False,False,False,False,True,False,1.0,0
4092,4,36000.0,1598,132,5.5,50.0,1300000,14.077874822431765,False,False,False,False,True,False,2.0,1
4093,12,129500.0,1598,124,7.0,55.0,680000,13.42984807715229,False,False,False,False,True,False,1.0,0
4094,12,188000.0,1329,99,5.9,55.0,455000,13.028052697933088,False,False,False,False,True,False,1.0,0
